============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 4, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2.
 
 index:        2, (  50,   4): (  50,   1) --> (1499,   1), goal index:      662, cost =
 index:        3, (  52,   4): (  52,   1) --> (1499,   1), goal index:      667, cost =
 index:        4, (  54,   4): (  54,   1) --> (1499,   1), goal index:      676, cost =
 index:        5, (  56,   4): (  56,   1) --> (1499,   1), goal index:      678, cost =
 index:        6, (  52,   4): (  52,   1) --> (1499,   1), goal index:      680, cost =
 index:        7, (  54,   4): (  54,   1) --> (1499,   1), goal index:      675, cost =
 index:        8, (  54,   4): (  54,   1) --> (1499,   1), goal index:      683, cost =
 index:        9, (  56,   4): (  56,   1) --> (1499,   1), goal index:      685, cost =
 index:       10, (  56,   4): (  56,   1) --> (1499,   1), goal index:      697, cost =
 index:      330, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1064, cost =
 index:      331, (  82,   7): (  82,   4) --> (1499,   1), goal index:     1042, cost =
 index:      332, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1056, cost =
 index:      333, (  80,   4): (  80,   1) --> (1499,   1), goal index:     1042, cost =
 index:      334, (  80,   4): (  80,   1) --> (1499,   1), goal index:     1012, cost =
 index:      335, (  82,   7): (  82,   4) --> (1499,   1), goal index:     1027, cost =
 index:      336, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1009, cost =
 index:      337, (  82,   7): (  82,   4) --> (1499,   1), goal index:     1011, cost =
 index:      338, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1027, cost =
 index:      339, (  82,   7): (  82,   4) --> (1499,   1), goal index:     1043, cost =
 index:      340, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1046, cost =
 index:      341, (  80,   4): (  80,   1) --> (1499,   1), goal index:     1060, cost =
 index:      342, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1017, cost =
 index:      343, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1034, cost =
 index:      344, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1027, cost =
 index:      345, (  82,   7): (  82,   4) --> (1499,   1), goal index:     1038, cost =
 index:      346, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1023, cost =
 index:      347, (  82,   7): (  82,   4) --> (1499,   1), goal index:     1039, cost =
 index:      348, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1055, cost =
 index:      349, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1057, cost =
 index:      350, (  82,   7): (  82,   4) --> (1499,   1), goal index:     1027, cost =
 index:      351, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1043, cost =
 index:      352, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1058, cost =
 index:      353, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1043, cost =
 index:      354, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1050, cost =
 index:      355, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1065, cost =
 index:      356, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1065, cost =
 index:      357, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1076, cost =
 index:      358, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1041, cost =
 index:      359, (  82,   7): (  82,   4) --> (1499,   1), goal index:     1036, cost =
 index:      360, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1036, cost =
 index:      361, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1053, cost =
 index:      362, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1046, cost =
 index:      363, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1056, cost =
 index:      364, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1071, cost =
 index:      365, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1086, cost =
 index:      366, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1077, cost =
 index:      367, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1045, cost =
 index:      368, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1063, cost =
 index:      369, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1078, cost =
 index:      370, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1093, cost =
 index:      371, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1048, cost =
 index:      372, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1065, cost =
 index:      373, (  82,   4): (  82,   1) --> (1499,   1), goal index:     1055, cost =
 index:      374, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1052, cost =
 index:      375, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1070, cost =
 index:      376, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1087, cost =
 index:      377, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1078, cost =
 index:      378, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1094, cost =
 index:      379, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1110, cost =
 index:      380, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1109, cost =
 index:      381, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1084, cost =
 index:      382, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1082, cost =
 index:      383, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1059, cost =
 index:      384, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1060, cost =
 index:      385, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1078, cost =
 index:      386, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1096, cost =
 index:      387, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1098, cost =
 index:      388, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1114, cost =
 index:      389, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1130, cost =
 index:      390, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1102, cost =
 index:      391, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1085, cost =
 index:      392, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1072, cost =
 index:      393, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1090, cost =
 index:      394, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1092, cost =
 index:      395, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1074, cost =
 index:      396, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1091, cost =
 index:      397, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1105, cost =
 index:      398, (  83,   4): (  83,   1) --> (1499,   1), goal index:     1108, cost =
 index:      399, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1080, cost =
 index:      400, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1099, cost =
 index:      401, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1117, cost =
 index:      402, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1106, cost =
 index:      403, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1123, cost =
 index:      404, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1120, cost =
 index:      405, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1136, cost =
 index:      406, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1153, cost =
 index:      407, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1136, cost =
 index:      408, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1152, cost =
 index:      409, (  84,   7): (  84,   4) --> (1499,   1), goal index:     1087, cost =
 index:      410, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1089, cost =
 index:      411, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1107, cost =
 index:      412, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1125, cost =
 index:      413, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1127, cost =
 index:      414, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1143, cost =
 index:      415, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1159, cost =
 index:      416, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1131, cost =
 index:      417, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1117, cost =
 index:      418, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1099, cost =
 index:      419, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1117, cost =
 index:      420, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1119, cost =
 index:      421, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1122, cost =
 index:      422, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1102, cost =
 index:      423, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1120, cost =
 index:      424, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1137, cost =
 index:      425, (  84,   4): (  84,   1) --> (1499,   1), goal index:     1139, cost =
 index:      426, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1105, cost =
 index:      427, (  85,   4): (  85,   1) --> (1499,   1), goal index:     1125, cost =
 index:      428, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1142, cost =
 index:      429, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1131, cost =
 index:      430, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1148, cost =
 index:      431, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1145, cost =
 index:      432, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1131, cost =
 index:      433, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1143, cost =
 index:      434, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1148, cost =
 index:      435, (  85,   7): (  85,   4) --> (1499,   1), goal index:     1113, cost =
 index:      436, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1114, cost =
 index:      437, (  85,   4): (  85,   1) --> (1499,   1), goal index:     1133, cost =
 index:      438, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1151, cost =
 index:      439, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1153, cost =
 index:      440, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1139, cost =
 index:      441, (  85,   4): (  85,   1) --> (1499,   1), goal index:     1139, cost =
 index:      442, (  85,   4): (  85,   1) --> (1499,   1), goal index:     1121, cost =
 index:      443, (  85,   4): (  85,   1) --> (1499,   1), goal index:     1141, cost =
 index:      444, (  85,   4): (  85,   1) --> (1499,   1), goal index:     1143, cost =
 index:      445, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1145, cost =
 index:      446, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1125, cost =
 index:      447, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1128, cost =
 index:      448, (  85,   4): (  85,   1) --> (1499,   1), goal index:     1145, cost =
 index:      449, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1128, cost =
 index:      450, (  86,   4): (  86,   1) --> (1499,   1), goal index:     1149, cost =
 index:      451, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1168, cost =
 index:      452, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1157, cost =
 index:      453, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1155, cost =
 index:      454, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1156, cost =
 index:      455, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1157, cost =
 index:      456, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1159, cost =
 index:      457, (  86,   7): (  86,   4) --> (1499,   1), goal index:     1137, cost =
 index:      458, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1138, cost =
 index:      459, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1141, cost =
 index:      460, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1158, cost =
 index:      461, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1175, cost =
 index:      462, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1191, cost =
 index:      463, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1178, cost =
 index:      464, (  86,   4): (  86,   1) --> (1499,   1), goal index:     1195, cost =
 index:      465, (  86,   4): (  86,   1) --> (1499,   1), goal index:     1145, cost =
 index:      466, (  86,   4): (  86,   1) --> (1499,   1), goal index:     1166, cost =
 index:      467, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1168, cost =
 index:      468, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1150, cost =
 index:      469, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1169, cost =
 index:      470, (  86,   4): (  86,   1) --> (1499,   1), goal index:     1154, cost =
 index:      471, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1154, cost =
 index:      472, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1156, cost =
 index:      473, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1175, cost =
 index:      474, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1193, cost =
 index:      475, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1193, cost =
 index:      476, (  87,   4): (  87,   1) --> (1499,   1), goal index:     1211, cost =
 index:      477, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1227, cost =
 index:      478, (  87,   4): (  87,   1) --> (1499,   1), goal index:     1210, cost =
 index:      479, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1226, cost =
 index:      480, (  87,   7): (  87,   4) --> (1499,   1), goal index:     1161, cost =
 index:      481, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1162, cost =
 index:      482, (  87,   4): (  87,   1) --> (1499,   1), goal index:     1183, cost =
 index:      483, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1201, cost =
 index:      484, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1170, cost =
 index:      485, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1188, cost =
 index:      486, (  87,   4): (  87,   1) --> (1499,   1), goal index:     1189, cost =
 index:      487, (  87,   4): (  87,   1) --> (1499,   1), goal index:     1173, cost =
 index:      488, (  87,   4): (  87,   1) --> (1499,   1), goal index:     1174, cost =
 index:      489, (  87,   4): (  87,   1) --> (1499,   1), goal index:     1194, cost =
 index:      490, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1195, cost =
 index:      491, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1175, cost =
 index:      492, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1195, cost =
 index:      493, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1210, cost =
 index:      494, (  87,   4): (  87,   1) --> (1499,   1), goal index:     1212, cost =
 index:      495, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1179, cost =
 index:      496, (  88,   4): (  88,   1) --> (1499,   1), goal index:     1201, cost =
 index:      497, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1221, cost =
 index:      498, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1184, cost =
 index:      499, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1204, cost =
 index:      500, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1206, cost =
 index:      501, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1225, cost =
 index:      502, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1226, cost =
 index:      503, (  88,   7): (  88,   4) --> (1499,   1), goal index:     1188, cost =
 index:      504, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1189, cost =
 index:      505, (  88,   4): (  88,   1) --> (1499,   1), goal index:     1209, cost =
 index:      506, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1227, cost =
 index:      507, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1232, cost =
 index:      508, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1251, cost =
 index:      509, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1267, cost =
 index:      510, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1198, cost =
 index:      511, (  88,   4): (  88,   1) --> (1499,   1), goal index:     1216, cost =
 index:      512, (  88,   4): (  88,   1) --> (1499,   1), goal index:     1201, cost =
 index:      513, (  88,   4): (  88,   1) --> (1499,   1), goal index:     1222, cost =
 index:      514, (  88,   4): (  88,   1) --> (1499,   1), goal index:     1203, cost =
 index:      515, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1223, cost =
 index:      516, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1202, cost =
 index:      517, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1222, cost =
 index:      518, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1237, cost =
 index:      519, (  88,   4): (  88,   1) --> (1499,   1), goal index:     1239, cost =
 index:      520, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1207, cost =
 index:      521, (  89,   4): (  89,   1) --> (1499,   1), goal index:     1229, cost =
 index:      522, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1249, cost =
 index:      523, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1236, cost =
 index:      524, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1255, cost =
 index:      525, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1215, cost =
 index:      526, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1233, cost =
 index:      527, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1252, cost =
 index:      528, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1254, cost =
 index:      529, (  89,   7): (  89,   4) --> (1499,   1), goal index:     1216, cost =
 index:      530, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1217, cost =
 index:      531, (  89,   4): (  89,   1) --> (1499,   1), goal index:     1238, cost =
 index:      532, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1259, cost =
 index:      533, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1262, cost =
 index:      534, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1281, cost =
 index:      535, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1297, cost =
 index:      536, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1265, cost =
 index:      537, (  89,   4): (  89,   1) --> (1499,   1), goal index:     1228, cost =
 index:      538, (  89,   4): (  89,   1) --> (1499,   1), goal index:     1229, cost =
 index:      539, (  89,   4): (  89,   1) --> (1499,   1), goal index:     1250, cost =
 index:      540, (  89,   4): (  89,   1) --> (1499,   1), goal index:     1252, cost =
 index:      541, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1233, cost =
 index:      542, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1229, cost =
 index:      543, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1250, cost =
 index:      544, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1264, cost =
 index:      545, (  89,   4): (  89,   1) --> (1499,   1), goal index:     1268, cost =
 index:      546, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1233, cost =
 index:      547, (  90,   4): (  90,   1) --> (1499,   1), goal index:     1257, cost =
 index:      548, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1278, cost =
 index:      549, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1265, cost =
 index:      550, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1284, cost =
 index:      551, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1278, cost =
 index:      552, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1244, cost =
 index:      553, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1262, cost =
 index:      554, (  90,   7): (  90,   4) --> (1499,   1), goal index:     1242, cost =
 index:      555, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1245, cost =
 index:      556, (  90,   4): (  90,   1) --> (1499,   1), goal index:     1266, cost =
 index:      557, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1287, cost =
 index:      558, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1289, cost =
 index:      559, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1308, cost =
 index:      560, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1324, cost =
 index:      561, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1292, cost =
 index:      562, (  90,   4): (  90,   1) --> (1499,   1), goal index:     1277, cost =
 index:      563, (  90,   4): (  90,   1) --> (1499,   1), goal index:     1255, cost =
 index:      564, (  90,   4): (  90,   1) --> (1499,   1), goal index:     1278, cost =
 index:      565, (  90,   4): (  90,   1) --> (1499,   1), goal index:     1281, cost =
 index:      566, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1281, cost =
 index:      567, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1256, cost =
 index:      568, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1277, cost =
 index:      569, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1293, cost =
 index:      570, (  90,   4): (  90,   1) --> (1499,   1), goal index:     1296, cost =
 index:      571, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1261, cost =
 index:      572, (  91,   4): (  91,   1) --> (1499,   1), goal index:     1283, cost =
 index:      573, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1304, cost =
 index:      574, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1291, cost =
 index:      575, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1310, cost =
 index:      576, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1304, cost =
 index:      577, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1291, cost =
 index:      578, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1311, cost =
 index:      579, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1312, cost =
 index:      580, (  91,   7): (  91,   4) --> (1499,   1), goal index:     1269, cost =
 index:      581, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1271, cost =
 index:      582, (  91,   4): (  91,   1) --> (1499,   1), goal index:     1293, cost =
 index:      583, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1314, cost =
 index:      584, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1316, cost =
 index:      585, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1335, cost =
 index:      586, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1351, cost =
 index:      587, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1319, cost =
 index:      588, (  91,   4): (  91,   1) --> (1499,   1), goal index:     1304, cost =
 index:      589, (  91,   4): (  91,   1) --> (1499,   1), goal index:     1282, cost =
 index:      590, (  91,   4): (  91,   1) --> (1499,   1), goal index:     1304, cost =
 index:      591, (  91,   4): (  91,   1) --> (1499,   1), goal index:     1307, cost =
 index:      592, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1308, cost =
 index:      593, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1284, cost =
 index:      594, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1306, cost =
 index:      595, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1322, cost =
 index:      596, (  91,   4): (  91,   1) --> (1499,   1), goal index:     1325, cost =
 index:      597, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1289, cost =
 index:      598, (  92,   4): (  92,   1) --> (1499,   1), goal index:     1312, cost =
 index:      599, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1334, cost =
 index:      600, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1320, cost =
 index:      601, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1339, cost =
 index:      602, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1333, cost =
 index:      603, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1320, cost =
 index:      604, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1341, cost =
 index:      605, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1341, cost =
 index:      606, (  92,   7): (  92,   4) --> (1499,   1), goal index:     1297, cost =
 index:      607, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1299, cost =
 index:      608, (  92,   4): (  92,   1) --> (1499,   1), goal index:     1322, cost =
 index:      609, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1341, cost =
 index:      610, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1345, cost =
 index:      611, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1364, cost =
 index:      612, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1379, cost =
 index:      613, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1347, cost =
 index:      614, (  92,   4): (  92,   1) --> (1499,   1), goal index:     1333, cost =
 index:      615, (  92,   4): (  92,   1) --> (1499,   1), goal index:     1310, cost =
 index:      616, (  92,   4): (  92,   1) --> (1499,   1), goal index:     1333, cost =
 index:      617, (  92,   4): (  92,   1) --> (1499,   1), goal index:     1336, cost =
 index:      618, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1337, cost =
 index:      619, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1312, cost =
 index:      620, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1334, cost =
 index:      621, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1350, cost =
 index:      622, (  92,   4): (  92,   1) --> (1499,   1), goal index:     1353, cost =
 index:      623, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1317, cost =
 index:      624, (  93,   4): (  93,   1) --> (1499,   1), goal index:     1340, cost =
 index:      625, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1362, cost =
 index:      626, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1348, cost =
 index:      627, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1367, cost =
 index:      628, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1361, cost =
 index:      629, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1349, cost =
 index:      630, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1370, cost =
 index:      631, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1370, cost =
 index:      632, (  93,   7): (  93,   4) --> (1499,   1), goal index:     1325, cost =
 index:      633, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1326, cost =
 index:      634, (  93,   4): (  93,   1) --> (1499,   1), goal index:     1350, cost =
 index:      635, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1370, cost =
 index:      636, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1372, cost =
 index:      637, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1391, cost =
 index:      638, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1407, cost =
 index:      639, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1374, cost =
 index:      640, (  93,   4): (  93,   1) --> (1499,   1), goal index:     1363, cost =
 index:      641, (  93,   4): (  93,   1) --> (1499,   1), goal index:     1338, cost =
 index:      642, (  93,   4): (  93,   1) --> (1499,   1), goal index:     1361, cost =
 index:      643, (  93,   4): (  93,   1) --> (1499,   1), goal index:     1364, cost =
 index:      644, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1364, cost =
 index:      645, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1339, cost =
 index:      646, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1361, cost =
 index:      647, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1377, cost =
 index:      648, (  93,   4): (  93,   1) --> (1499,   1), goal index:     1380, cost =
 index:      649, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1344, cost =
 index:      650, (  94,   4): (  94,   1) --> (1499,   1), goal index:     1367, cost =
 index:      651, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1389, cost =
 index:      652, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1375, cost =
 index:      653, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1394, cost =
 index:      654, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1388, cost =
