TU LWE Challenge, n =  40, alpha = 0.0450
[0m[1;31m dim = 195, dvol = 302.20 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 2, max_loop = 30, threads = 50, prec = 1.000000e+03, strategy_add_method = 2
 index:    1, (beta,j): (  51,  15) --> ( 194,   1), goal index:    1, cost =
 index:  534, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 3081, cost =
 index:  535, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3226, cost =
 index:  536, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3132, cost =
 index:  537, (beta,j): ( 170,   9) --> ( 210,   1), goal index: 2986, cost =
 index:  538, (beta,j): ( 171,  12) --> ( 210,   1), goal index: 2817, cost =
 index:  539, (beta,j): ( 172,  12) --> ( 210,   1), goal index: 2843, cost =
 index:  540, (beta,j): ( 168,  13) --> ( 210,   1), goal index: 3134, cost =
 index:  541, (beta,j): ( 169,   4) --> ( 210,   1), goal index: 3058, cost =
 index:  542, (beta,j): ( 171,  10) --> ( 210,   1), goal index: 3089, cost =
 index:  543, (beta,j): ( 168,  13) --> ( 210,   1), goal index: 3338, cost =
 index:  544, (beta,j): ( 169,   4) --> ( 210,   1), goal index: 3294, cost =
 index:  545, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3295, cost =
 index:  546, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3233, cost =
 index:  547, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3276, cost =
 index:  548, (beta,j): ( 170,  10) --> ( 210,   1), goal index: 3255, cost =
 index:  549, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 2850, cost =
 index:  550, (beta,j): ( 171,   8) --> ( 210,   1), goal index: 3092, cost =
 index:  551, (beta,j): ( 170,  10) --> ( 210,   1), goal index: 3462, cost =
 index:  552, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 2875, cost =
 index:  553, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 2973, cost =
 index:  554, (beta,j): ( 168,  13) --> ( 210,   1), goal index: 3283, cost =
 index:  555, (beta,j): ( 169,   4) --> ( 210,   1), goal index: 3008, cost =
 index:  556, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3046, cost =
 index:  557, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3019, cost =
 index:  558, (beta,j): ( 171,   8) --> ( 210,   1), goal index: 2942, cost =
 index:  559, (beta,j): ( 169,  11) --> ( 210,   1), goal index: 3229, cost =
 index:  560, (beta,j): ( 169,   4) --> ( 210,   1), goal index: 3325, cost =
 index:  561, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 3315, cost =
 index:  562, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 3319, cost =
 index:  563, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3483, cost =
 index:  564, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3487, cost =
 index:  565, (beta,j): ( 169,  11) --> ( 210,   1), goal index: 3365, cost =
 index:  566, (beta,j): ( 169,   4) --> ( 210,   1), goal index: 3551, cost =
 index:  567, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3534, cost =
 index:  568, (beta,j): ( 170,  10) --> ( 210,   1), goal index: 3530, cost =
 index:  569, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 2988, cost =
 index:  570, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3237, cost =
 index:  571, (beta,j): ( 171,   8) --> ( 210,   1), goal index: 3237, cost =
 index:  572, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3472, cost =
 index:  573, (beta,j): ( 170,   9) --> ( 210,   1), goal index: 3279, cost =
 index:  574, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3101, cost =
 index:  575, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 2998, cost =
 index:  576, (beta,j): ( 170,  10) --> ( 210,   1), goal index: 3245, cost =
 index:  577, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 2935, cost =
 index:  578, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 3317, cost =
 index:  579, (beta,j): ( 170,   8) --> ( 210,   1), goal index: 3493, cost =
 index:  580, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 3543, cost =
 index:  581, (beta,j): ( 169,  11) --> ( 210,   1), goal index: 3767, cost =
 index:  582, (beta,j): ( 169,   4) --> ( 210,   1), goal index: 3774, cost =
 index:  583, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3687, cost =
 index:  584, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3548, cost =
 index:  585, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 3382, cost =
 index:  586, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3616, cost =
 index:  587, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3881, cost =
 index:  588, (beta,j): ( 171,  14) --> ( 210,   1), goal index: 3533, cost =
 index:  589, (beta,j): ( 171,   8) --> ( 210,   1), goal index: 3182, cost =
 index:  590, (beta,j): ( 170,  10) --> ( 210,   1), goal index: 3557, cost =
 index:  591, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3010, cost =
 index:  592, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 3065, cost =
 index:  593, (beta,j): ( 171,  10) --> ( 210,   1), goal index: 3402, cost =
 index:  594, (beta,j): ( 169,  11) --> ( 210,   1), goal index: 3548, cost =
 index:  595, (beta,j): ( 169,   4) --> ( 210,   1), goal index: 3595, cost =
 index:  596, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3522, cost =
 index:  597, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3454, cost =
 index:  598, (beta,j): ( 171,   7) --> ( 210,   1), goal index: 3335, cost =
 index:  599, (beta,j): ( 171,  10) --> ( 210,   1), goal index: 3598, cost =
 index:  600, (beta,j): ( 171,  14) --> ( 210,   1), goal index: 3799, cost =
 index:  601, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3127, cost =
 index:  602, (beta,j): ( 170,  10) --> ( 210,   1), goal index: 3415, cost =
 index:  603, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 2965, cost =
 index:  604, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 3184, cost =
 index:  605, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3401, cost =
 index:  606, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3451, cost =
 index:  607, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3514, cost =
 index:  608, (beta,j): ( 170,   9) --> ( 210,   1), goal index: 3346, cost =
 index:  609, (beta,j): ( 171,  12) --> ( 210,   1), goal index: 3173, cost =
 index:  610, (beta,j): ( 172,  12) --> ( 210,   1), goal index: 3098, cost =
 index:  611, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3352, cost =
 index:  612, (beta,j): ( 170,   7) --> ( 210,   1), goal index: 3684, cost =
 index:  613, (beta,j): ( 171,  10) --> ( 210,   1), goal index: 3876, cost =
 index:  614, (beta,j): ( 173,  14) --> ( 210,   1), goal index: 3984, cost =
 index:  615, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 4233, cost =
 index:  616, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 4292, cost =
 index:  617, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 4049, cost =
 index:  618, (beta,j): ( 171,   8) --> ( 210,   1), goal index: 4082, cost =
 index:  619, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 4115, cost =
 index:  620, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 4012, cost =
 index:  621, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 4158, cost =
 index:  622, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 4300, cost =
 index:  623, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 4125, cost =
 index:  624, (beta,j): ( 165,   3) --> ( 210,   1), goal index: 4150, cost =
 index:  625, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3051, cost =
 index:  626, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3299, cost =
 index:  627, (beta,j): ( 171,   8) --> ( 210,   1), goal index: 3344, cost =
 index:  628, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3523, cost =
 index:  629, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3810, cost =
 index:  630, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 3278, cost =
 index:  631, (beta,j): ( 170,   4) --> ( 210,   1), goal index: 3512, cost =
 index:  632, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3825, cost =
 index:  633, (beta,j): ( 170,   6) --> ( 210,   1), goal index: 3959, cost =
 index:  634, (beta,j): ( 171,  13) --> ( 210,   1), goal index: 3893, cost =
 index:  635, (beta,j): ( 172,  12) --> ( 210,   1), goal index: 3108, cost =
 index:  636, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3463, cost =
 index:  637, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3662, cost =
 index:  638, (beta,j): ( 171,   9) --> ( 210,   1), goal index: 3555, cost =
 index:  639, (beta,j): ( 170,   4) --> ( 210,   1), goal index: 3388, cost =
 index:  640, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3751, cost =
 index:  641, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 4111, cost =
 index:  642, (beta,j): ( 171,   8) --> ( 210,   1), goal index: 4160, cost =
 index:  643, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 4196, cost =
 index:  644, (beta,j): ( 170,   5) --> ( 210,   1), goal index: 3694, cost =
 index:  645, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3925, cost =
 index:  646, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3917, cost =
 index:  647, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 4025, cost =
 index:  648, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 4065, cost =
 index:  649, (beta,j): ( 165,   3) --> ( 210,   1), goal index: 4239, cost =
 index:  650, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 2974, cost =
 index:  651, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3086, cost =
 index:  652, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3305, cost =
 index:  653, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 3574, cost =
 index:  654, (beta,j): ( 172,  12) --> ( 210,   1), goal index: 3829, cost =
 index:  655, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3725, cost =
 index:  656, (beta,j): ( 174,  14) --> ( 210,   1), goal index: 4056, cost =
 index:  657, (beta,j): ( 171,   4) --> ( 210,   1), goal index: 4056, cost =
 index:  658, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 4332, cost =
 index:  659, (beta,j): ( 173,  10) --> ( 210,   1), goal index: 4284, cost =
 index:  660, (beta,j): ( 166,  14) --> ( 210,   1), goal index: 4371, cost =
 index:  661, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 3639, cost =
 index:  662, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3586, cost =
 index:  663, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3747, cost =
 index:  664, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 3926, cost =
 index:  665, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 3767, cost =
 index:  666, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3785, cost =
 index:  667, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3953, cost =
 index:  668, (beta,j): ( 172,  12) --> ( 210,   1), goal index: 4062, cost =
 index:  669, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3869, cost =
 index:  670, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 4195, cost =
 index:  671, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 4151, cost =
 index:  672, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3977, cost =
 index:  673, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 4108, cost =
 index:  674, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 4134, cost =
 index:  675, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 4362, cost =
 index:  676, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 4566, cost =
 index:  677, (beta,j): ( 173,  10) --> ( 210,   1), goal index: 4245, cost =
 index:  678, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 4473, cost =
 index:  679, (beta,j): ( 166,  14) --> ( 210,   1), goal index: 4622, cost =
 index:  680, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 3674, cost =
 index:  681, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3660, cost =
 index:  682, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3742, cost =
 index:  683, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 3950, cost =
 index:  684, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 3850, cost =
 index:  685, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3768, cost =
 index:  686, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 4094, cost =
 index:  687, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 4075, cost =
 index:  688, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 4103, cost =
 index:  689, (beta,j): ( 172,  12) --> ( 210,   1), goal index: 3873, cost =
 index:  690, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3752, cost =
 index:  691, (beta,j): ( 174,  14) --> ( 210,   1), goal index: 4092, cost =
 index:  692, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3946, cost =
 index:  693, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 4147, cost =
 index:  694, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 4052, cost =
 index:  695, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 4163, cost =
 index:  696, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 4191, cost =
 index:  697, (beta,j): ( 172,  12) --> ( 210,   1), goal index: 4305, cost =
 index:  698, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 4043, cost =
 index:  699, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 4303, cost =
 index:  700, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 4246, cost =
 index:  701, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 4297, cost =
 index:  702, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 4421, cost =
 index:  703, (beta,j): ( 173,  10) --> ( 210,   1), goal index: 4430, cost =
 index:  704, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 4594, cost =
 index:  705, (beta,j): ( 166,  14) --> ( 210,   1), goal index: 4792, cost =
 index:  706, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 2741, cost =
 index:  707, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 2721, cost =
 index:  708, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 2935, cost =
 index:  709, (beta,j): ( 173,  10) --> ( 210,   1), goal index: 3153, cost =
 index:  710, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 3304, cost =
 index:  711, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 3124, cost =
 index:  712, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 2908, cost =
 index:  713, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3237, cost =
 index:  714, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3152, cost =
 index:  715, (beta,j): ( 173,  10) --> ( 210,   1), goal index: 3286, cost =
 index:  716, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3355, cost =
 index:  717, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 3575, cost =
 index:  718, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 3280, cost =
 index:  719, (beta,j): ( 173,  10) --> ( 210,   1), goal index: 3174, cost =
 index:  720, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3338, cost =
 index:  721, (beta,j): ( 174,  14) --> ( 210,   1), goal index: 3608, cost =
 index:  722, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3549, cost =
 index:  723, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 3642, cost =
 index:  724, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 3643, cost =
 index:  725, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3807, cost =
 index:  726, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 3842, cost =
 index:  727, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 3448, cost =
 index:  728, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3300, cost =
 index:  729, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3632, cost =
 index:  730, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 3562, cost =
 index:  731, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 3684, cost =
 index:  732, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3377, cost =
 index:  733, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3608, cost =
 index:  734, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3719, cost =
 index:  735, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3415, cost =
 index:  736, (beta,j): ( 172,   5) --> ( 210,   1), goal index: 3734, cost =
 index:  737, (beta,j): ( 166,  14) --> ( 210,   1), goal index: 3961, cost =
 index:  738, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 2590, cost =
 index:  739, (beta,j): ( 174,  14) --> ( 210,   1), goal index: 2693, cost =
 index:  740, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 2729, cost =
 index:  741, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 2997, cost =
 index:  742, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3204, cost =
 index:  743, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 3436, cost =
 index:  744, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 3183, cost =
 index:  745, (beta,j): ( 172,  14) --> ( 210,   1), goal index: 3000, cost =
 index:  746, (beta,j): ( 173,  14) --> ( 210,   1), goal index: 2960, cost =
 index:  747, (beta,j): ( 174,  14) --> ( 210,   1), goal index: 3263, cost =
 index:  748, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3281, cost =
 index:  749, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3502, cost =
 index:  750, (beta,j): ( 169,  11) --> ( 210,   1), goal index: 3640, cost =
 index:  751, (beta,j): ( 174,  14) --> ( 210,   1), goal index: 3767, cost =
 index:  752, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3784, cost =
 index:  753, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3877, cost =
 index:  754, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 4025, cost =
 index:  755, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 4239, cost =
 index:  756, (beta,j): ( 172,  13) --> ( 210,   1), goal index: 3566, cost =
 index:  757, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3306, cost =
 index:  758, (beta,j): ( 174,  14) --> ( 210,   1), goal index: 3641, cost =
 index:  759, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3798, cost =
 index:  760, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3948, cost =
 index:  761, (beta,j): ( 171,  11) --> ( 210,   1), goal index: 3778, cost =
 index:  762, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 4126, cost =
 index:  763, (beta,j): ( 169,  11) --> ( 210,   1), goal index: 4048, cost =
 index:  764, (beta,j): ( 171,   4) --> ( 210,   1), goal index: 4137, cost =
 index:  765, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 4257, cost =
 index:  766, (beta,j): ( 173,  14) --> ( 210,   1), goal index: 3703, cost =
 index:  767, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3716, cost =
 index:  768, (beta,j): ( 173,  14) --> ( 210,   1), goal index: 3963, cost =
 index:  769, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3779, cost =
 index:  770, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3925, cost =
 index:  771, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3772, cost =
 index:  772, (beta,j): ( 172,   5) --> ( 210,   1), goal index: 4045, cost =
 index:  773, (beta,j): ( 166,  14) --> ( 210,   1), goal index: 4210, cost =
 index:  774, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 2658, cost =
 index:  775, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 2833, cost =
 index:  776, (beta,j): ( 172,  10) --> ( 210,   1), goal index: 2977, cost =
 index:  777, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3198, cost =
 index:  778, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3469, cost =
 index:  779, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3523, cost =
 index:  780, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 3726, cost =
 index:  781, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 3410, cost =
 index:  782, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 3262, cost =
 index:  783, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3533, cost =
 index:  784, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3823, cost =
 index:  785, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 4066, cost =
 index:  786, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 4053, cost =
 index:  787, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3994, cost =
 index:  788, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 4206, cost =
 index:  789, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3919, cost =
 index:  790, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 4072, cost =
 index:  791, (beta,j): ( 169,  11) --> ( 210,   1), goal index: 3974, cost =
 index:  792, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 4284, cost =
 index:  793, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 4268, cost =
 index:  794, (beta,j): ( 174,  13) --> ( 210,   1), goal index: 4317, cost =
 index:  795, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 4590, cost =
 index:  796, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 4745, cost =
 index:  797, (beta,j): ( 172,  11) --> ( 210,   1), goal index: 3749, cost =
 index:  798, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3498, cost =
 index:  799, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3636, cost =
 index:  800, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3724, cost =
 index:  801, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3884, cost =
 index:  802, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3690, cost =
 index:  803, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3953, cost =
 index:  804, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 4262, cost =
 index:  805, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 4421, cost =
 index:  806, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 4194, cost =
 index:  807, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3956, cost =
 index:  808, (beta,j): ( 171,   4) --> ( 210,   1), goal index: 4257, cost =
 index:  809, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 4362, cost =
 index:  810, (beta,j): ( 173,  14) --> ( 210,   1), goal index: 3688, cost =
 index:  811, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3651, cost =
 index:  812, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3694, cost =
 index:  813, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3886, cost =
 index:  814, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3618, cost =
 index:  815, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3609, cost =
 index:  816, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3912, cost =
 index:  817, (beta,j): ( 166,  14) --> ( 210,   1), goal index: 3748, cost =
 index:  818, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 2587, cost =
 index:  819, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 2748, cost =
 index:  820, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 2974, cost =
 index:  821, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3178, cost =
 index:  822, (beta,j): ( 172,   7) --> ( 210,   1), goal index: 3388, cost =
 index:  823, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 3605, cost =
 index:  824, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 3302, cost =
 index:  825, (beta,j): ( 173,  12) --> ( 210,   1), goal index: 3345, cost =
 index:  826, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3358, cost =
 index:  827, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3598, cost =
 index:  828, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 3836, cost =
 index:  829, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3755, cost =
 index:  830, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3983, cost =
 index:  831, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3494, cost =
 index:  832, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3502, cost =
 index:  833, (beta,j): ( 169,  11) --> ( 210,   1), goal index: 3591, cost =
 index:  834, (beta,j): ( 172,   8) --> ( 210,   1), goal index: 3906, cost =
 index:  835, (beta,j): ( 171,   5) --> ( 210,   1), goal index: 3788, cost =
 index:  836, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3920, cost =
 index:  837, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 4142, cost =
 index:  838, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3458, cost =
 index:  839, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3399, cost =
 index:  840, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3482, cost =
 index:  841, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 3662, cost =
 index:  842, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3512, cost =
 index:  843, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 3516, cost =
 index:  844, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3542, cost =
 index:  845, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3819, cost =
 index:  846, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3822, cost =
 index:  847, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3766, cost =
 index:  848, (beta,j): ( 173,  11) --> ( 210,   1), goal index: 4071, cost =
 index:  849, (beta,j): ( 168,  14) --> ( 210,   1), goal index: 4241, cost =
 index:  850, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 3570, cost =
 index:  851, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3582, cost =
 index:  852, (beta,j): ( 169,  13) --> ( 210,   1), goal index: 3706, cost =
 index:  853, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 3853, cost =
 index:  854, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3490, cost =
 index:  855, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 3419, cost =
 index:  856, (beta,j): ( 171,   6) --> ( 210,   1), goal index: 3411, cost =
 index:  857, (beta,j): ( 170,  11) --> ( 210,   1), goal index: 3377, cost =
 index:  858, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 3669, cost =
 index:  859, (beta,j): ( 166,  14) --> ( 210,   1), goal index: 3547, cost =
 index:  860, (beta,j): ( 173,  13) --> ( 210,   1), goal index: 2521, cost =
 index:  861, (beta,j): ( 172,   9) --> ( 210,   1), goal index: 2713, cost =
